# 2026-09-02 15:09 CST (mac): Record the reproducible local-only literature archive for both hosts; PDF payloads under downloads/ are intentionally ignored by Git.
category	year	title	url	filename	bytes	pages	sha256
physics	2018	Fast Self-forced Inspirals	https://arxiv.org/abs/1802.05281	PHYS_2018_fast_self_forced_NIT_arXiv1802.05281.pdf	1269867	33	cca5592908d571526df97ff83d02115ee7e46a64c09c8c8df3dae114a4f2e64a
physics	2026	Ringdown modeling for effective-one-body waveforms in the test-mass limit for eccentric equatorial orbits around a Kerr black hole	https://arxiv.org/abs/2603.19413	PHYS_2026_eccentric_Kerr_ringdown_arXiv2603.19413.pdf	26970579	38	eb280b341f38c3110dafa85d7db01100ee53dec0d38c38f8923f374a16fa2884
modeling	2021	Reduced Order and Surrogate Models for Gravitational Waves	https://arxiv.org/abs/2101.11608	MODEL_2021_reduced_order_surrogates_arXiv2101.11608.pdf	9646066	93	a75f144173fc176d141f19a448fb2a7b23eaf27902746f4a28414e310b0f2f82
numerics	2020	A Survey of Numerical Methods Utilizing Mixed Precision Arithmetic	https://arxiv.org/abs/2007.06674	NUM_2020_mixed_precision_survey_arXiv2007.06674.pdf	4389465	44	cb1cb3b791e257e075172b966a88516a6226be48cee34224542154fa1d71dcc4
numerics	2017	Finding Root Causes of Floating Point Error with Herbgrind	https://arxiv.org/abs/1705.10416	NUM_2017_Herbgrind_arXiv1705.10416.pdf	1260208	14	9f9597ad8a6a67163f43448e6b19f66f290f8c10f12efc5295dfbfe30741d832
numerics	2015	Verificarlo: checking floating point accuracy through Monte Carlo Arithmetic	https://arxiv.org/abs/1509.01347	NUM_2015_Verificarlo_arXiv1509.01347.pdf	701640	8	3a0adf8468ee1f929040f38257350bea60f3677d135bc7549ad48ce7062411ad
lisa	2024	Global Analysis of LISA Data with Galactic Binaries and Massive Black Hole Binaries	https://arxiv.org/abs/2403.15318	LISA_2024_global_analysis_arXiv2403.15318.pdf	4677706	14	510ccccba4e81be35b9e392e4fdcfac4dc011932a9bfb8777ea4e4c9d51f45c4
inference	2023	ripple: Differentiable and Hardware-Accelerated Waveforms for Gravitational Wave Data Analysis	https://arxiv.org/abs/2302.05329	GW_2023_differentiable_ripple_arXiv2302.05329.pdf	1933811	12	f61332649409ffacef70241fa584deb406c38f407d3ce796aa7a0275f7ac5c63
inference	2022	Neural Importance Sampling for Rapid and Reliable Gravitational-Wave Inference	https://arxiv.org/abs/2210.05686	GW_2022_neural_importance_sampling_arXiv2210.05686.pdf	2167463	15	06038a4da04b0f311543d7bc8379b373b4174789687b13ff0c46ac52615d130b
modeling	2022	Surrogate model for gravitational wave signals from non-spinning comparable- to large-mass-ratio black hole binaries built on black hole perturbation theory waveforms calibrated to numerical relativity	https://arxiv.org/abs/2204.01972	PHYS_2022_BHPT_NR_surrogate_arXiv2204.01972.pdf	1971211	20	bd529c80c33c43fac3902e80ccf802959fd8a4cd6dc7a8c2dc41331ac91c927f
lisa	2022	LISA Science Group Work Packages: waveform modelling requirements and analysis work plan	https://signup.lisamission.org/build/docs/LISA-LSG-Work-Packages.33a12c09.pdf	LISA_2022_waveform_work_packages.pdf	1017045	179	6b9e76967f9f12a0e891a455a006df0ea564644f0c598f9e1afb597ae918a9a1
software	2022	Introducing the FAIR Principles for research software	https://www.nature.com/articles/s41597-022-01710-x	SOFTWARE_2022_FAIR4RS.pdf	841466	6	c7a3e3b3218b034c758f4a247dc5dedf4e0090853f79f83297feca55cb778762
# 2026-09-04 11:56 CST (linux): Add the LISA Waveform Working Group review and the latest locally relevant spinning 1PA waveform paper after the phase-two gap review.
lisa	2025	Waveform Modelling for the Laser Interferometer Space Antenna	https://arxiv.org/abs/2311.01300	LISA_2025_waveform_modelling_review_arXiv2311.01300.pdf	7789073	208	8c109823c71abbd5b2522b7ce154de9414331ee223850db3fcda9db7c3fbd631
physics	2025	Post-adiabatic self-force waveforms: slowly spinning primary and precessing secondary	https://arxiv.org/abs/2510.16113	PHYS_2025_1PA_spins_arXiv2510.16113.pdf	3570356	38	3d2e7bb2d428113c20195729c96d1caa64f670062cc2c7a1bb67eab709223b94
